Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
11,35,26,2,0,42.3,3,caught,1,vÿAustralia,Melbourne,29-Feb-08,ODI # 2687
23,-,24,4,0,95.83,3,caught,1,vÿWest Indies,Port of Spain,10-Apr-08,ODI # 2697
28,-,51,2,0,54.9,3,caught,1,vÿWest Indies,Port of Spain,12-Apr-08,ODI # 2699
1,-,3,0,0,33.33,1,caught,1,vÿWest Indies,Gros Islet,15-Apr-08,ODI # 2701
101,133,91,16,0,110.98,2,caught,1,vÿBangladesh,Lahore,25-Jun-08,ODI # 2715
0,-,6,0,0,0,1,lbw,1,vÿU.A.E.,Lahore,26-Jun-08,ODI # 2718
112,202,110,10,1,101.81,2,bowled,1,vÿPakistan,Karachi,29-Jun-08,ODI # 2723
121,193,128,16,1,94.53,2,bowled,1,vÿBangladesh,Karachi,30-Jun-08,ODI # 2726
7,15,10,1,0,70,2,caught,1,vÿIndia,Karachi,03-Jul-08,ODI # 2732
4,6,3,1,0,133.33,2,run out,1,vÿIndia,Karachi,06-Jul-08,ODI # 2735
19,51,41,2,0,46.34,2,caught,2,vÿIndia,Dambulla,18-Aug-08,ODI # 2742
2,8,10,0,0,20,2,bowled,1,vÿIndia,Dambulla,20-Aug-08,ODI # 2745
9,24,12,2,0,75,2,lbw,2,vÿIndia,Colombo (RPS),24-Aug-08,ODI # 2750
6,20,16,1,0,37.5,3,bowled,2,vÿIndia,Colombo (RPS),27-Aug-08,ODI # 2755
1,9,5,0,0,20,4,caught,1,vÿIndia,Colombo (RPS),29-Aug-08,ODI # 2756
46*,148,95,5,0,48.42,3,not out,2,vÿZimbabwe,Harare,20-Nov-08,ODI # 2779
28*,38,25,5,0,112,3,not out,2,vÿZimbabwe,Harare,22-Nov-08,ODI # 2780
57,96,59,4,0,96.61,3,caught,1,vÿZimbabwe,Harare,24-Nov-08,ODI # 2782
23,84,57,2,0,40.35,3,caught,2,vÿZimbabwe,Harare,28-Nov-08,ODI # 2784
28,84,58,0,0,48.27,3,caught,1,vÿZimbabwe,Harare,30-Nov-08,ODI # 2785
4,18,16,0,0,25,3,lbw,1,vÿZimbabwe,Dhaka,12-Jan-09,ODI # 2791
0,-,5,0,0,0,3,bowled,1,vÿBangladesh,Dhaka,14-Jan-09,ODI # 2793
59,189,133,6,0,44.36,3,caught,2,vÿBangladesh,Dhaka,16-Jan-09,ODI # 2794
49,110,70,4,0,70,3,caught,1,vÿPakistan,Karachi,20-Jan-09,ODI # 2798
16,29,22,3,0,72.72,3,run out,1,vÿPakistan,Karachi,21-Jan-09,ODI # 2800
50,63,58,2,0,86.2,3,run out,1,vÿPakistan,Lahore,24-Jan-09,ODI # 2803
44,113,86,2,0,51.16,3,caught,1,vÿIndia,Dambulla,28-Jan-09,ODI # 2806
4,28,8,0,0,50,3,caught,2,vÿIndia,Colombo (RPS),31-Jan-09,ODI # 2810
83,151,82,9,0,101.21,3,caught,2,vÿIndia,Colombo (RPS),03-Feb-09,ODI # 2813
56,94,74,4,0,75.67,3,caught,2,vÿIndia,Colombo (RPS),05-Feb-09,ODI # 2815
84,80,70,8,1,120,3,caught,1,vÿIndia,Colombo (RPS),08-Feb-09,ODI # 2818
36,62,40,3,0,90,3,caught,1,vÿPakistan,Dambulla,30-Jul-09,ODI # 2864
2,29,17,0,0,11.76,3,run out,2,vÿPakistan,Dambulla,01-Aug-09,ODI # 2866
37*,61,29,4,0,127.58,3,not out,2,vÿPakistan,Dambulla,03-Aug-09,ODI # 2867
39,52,33,6,0,118.18,3,caught,2,vÿPakistan,Colombo (RPS),07-Aug-09,ODI # 2868
16,26,23,3,0,69.56,4,caught,2,vÿPakistan,Colombo (RPS),09-Aug-09,ODI # 2870
18,69,47,1,0,38.29,4,caught,1,vÿNew Zealand,Colombo (RPS),08-Sep-09,ODI # 2884
5,11,14,0,0,35.71,4,lbw,1,vÿIndia,Colombo (RPS),12-Sep-09,ODI # 2887
33,76,37,0,0,89.18,4,hit wicket,2,vÿIndia,Colombo (RPS),14-Sep-09,ODI # 2889
54,99,74,5,0,72.97,3,caught,1,vÿSouth Africa,Centurion,22-Sep-09,ODI # 2893
1,16,6,0,0,16.66,3,caught,1,vÿEngland,Johannesburg,25-Sep-09,ODI # 2896
11,25,13,1,0,84.61,3,caught,2,vÿNew Zealand,Johannesburg,27-Sep-09,ODI # 2899
90,61,43,10,5,209.3,3,caught,2,vÿIndia,Rajkot,15-Dec-09,ODI # 2932
21,33,22,2,0,95.45,3,run out,2,vÿIndia,Nagpur,18-Dec-09,ODI # 2933
46,62,41,3,1,112.19,3,stumped,1,vÿIndia,Cuttack,21-Dec-09,ODI # 2934
60,-,72,5,0,83.33,4,stumped,1,vÿIndia,Kolkata,24-Dec-09,ODI # 2935
1,24,9,0,0,11.11,4,caught,1,vÿIndia,Delhi,27-Dec-09,ODI # 2936
74,105,73,10,0,101.36,3,caught,2,vÿBangladesh,Dhaka,04-Jan-10,ODI # 2937
60,127,80,4,0,75,3,caught,2,vÿIndia,Dhaka,05-Jan-10,ODI # 2938
