Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
102,120,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,05-Jul-13,ODI # 3383
31,62,52,4,0,59.61,3,lbw,1,v Sri Lanka,Port of Spain,09-Jul-13,ODI # 3387
2,8,5,0,0,40,3,caught,2,v Sri Lanka,Port of Spain,11-Jul-13,ODI # 3388
115,133,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,24-Jul-13,ODI # 3395
14,35,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,26-Jul-13,ODI # 3397
68*,128,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,28-Jul-13,ODI # 3399
DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Bulawayo,01-Aug-13,ODI # 3402
DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Bulawayo,03-Aug-13,ODI # 3403
61,121,85,6,0,71.76,3,lbw,2,v Australia,Pune,13-Oct-13,ODI # 3419
100*,82,52,8,7,192.3,3,not out,2,v Australia,Jaipur,16-Oct-13,ODI # 3420
68,121,73,9,0,93.15,3,caught,1,v Australia,Mohali,19-Oct-13,ODI # 3421
DNB,-,-,-,-,-,-,-,2,v Australia,Ranchi,23-Oct-13,ODI # 3422
115*,104,66,18,1,174.24,3,not out,2,v Australia,Nagpur,30-Oct-13,ODI # 3424
0,4,3,0,0,0,3,run out,1,v Australia,Bengaluru,02-Nov-13,ODI # 3428
86,120,84,9,2,102.38,3,caught,2,v West Indies,Kochi,21-Nov-13,ODI # 3436
99,159,100,9,0,99,3,caught,1,v West Indies,Visakhapatnam,24-Nov-13,ODI # 3437
19,19,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,27-Nov-13,ODI # 3439
31,41,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,05-Dec-13,ODI # 3442
0,7,5,0,0,0,3,caught,2,v South Africa,Durban,08-Dec-13,ODI # 3443
