Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13,ODI # 3444
3,24,23,0,0,13.04,1,caught,2,v New Zealand,Napier,19-Jan-14,ODI # 3456
20,42,34,2,1,58.82,2,caught,2,v New Zealand,Hamilton,22-Jan-14,ODI # 3458
39,65,38,1,4,102.63,1,caught,2,v New Zealand,Auckland,25-Jan-14,ODI # 3462
79,131,94,6,4,84.04,1,caught,1,v New Zealand,Hamilton,28-Jan-14,ODI # 3465
4,20,13,0,0,30.76,1,caught,2,v New Zealand,Wellington,31-Jan-14,ODI # 3467
21,57,29,1,1,72.41,1,bowled,2,v Bangladesh,Fatullah,26-Feb-14,ODI # 3474
13,37,28,1,0,46.42,1,lbw,1,v Sri Lanka,Fatullah,28-Feb-14,ODI # 3476
56,86,58,7,2,96.55,1,caught,1,v Pakistan,Dhaka,02-Mar-14,ODI # 3479
18*,36,24,1,0,75,3,not out,2,v Afghanistan,Dhaka,05-Mar-14,ODI # 3483
52,126,87,4,1,59.77,1,caught,1,v England,Cardiff,27-Aug-14,ODI # 3517
264,225,173,33,9,152.6,2,caught,1,v Sri Lanka,Kolkata,13-Nov-14,ODI # 3544
9,18,12,2,0,75,2,bowled,2,v Sri Lanka,Ranchi,16-Nov-14,ODI # 3547
138,228,139,9,4,99.28,1,caught,1,v Australia,Melbourne,18-Jan-15,ODI # 3582
15,35,20,2,0,75,1,caught,1,v Pakistan,Adelaide,15-Feb-15,ODI # 3602
0,13,6,0,0,0,1,run out,1,v South Africa,Melbourne,22-Feb-15,ODI # 3610
57*,77,55,10,1,103.63,1,not out,2,v U.A.E.,Perth,28-Feb-15,ODI # 3618
7,30,18,1,0,38.88,1,caught,2,v West Indies,Perth,06-Mar-15,ODI # 3625
64,99,66,3,3,96.96,1,bowled,2,v Ireland,Hamilton,10-Mar-15,ODI # 3631
16,24,21,2,0,76.19,1,caught,2,v Zimbabwe,Auckland,14-Mar-15,ODI # 3636
137,223,126,14,3,108.73,1,bowled,1,v Bangladesh,Melbourne,19-Mar-15,ODI # 3641
34,83,48,1,2,70.83,1,bowled,2,v Australia,Sydney,26-Mar-15,ODI # 3645
63,100,68,4,1,92.64,1,caught,2,v Bangladesh,Dhaka,18-Jun-15,ODI # 3658
0,1,2,0,0,0,1,caught,1,v Bangladesh,Dhaka,21-Jun-15,ODI # 3660
29,34,29,2,1,100,1,caught,1,v Bangladesh,Dhaka,24-Jun-15,ODI # 3661
150,215,133,13,6,112.78,1,caught,2,v South Africa,Kanpur,11-Oct-15,ODI # 3689
3,6,10,0,0,30,1,bowled,1,v South Africa,Indore,14-Oct-15,ODI # 3692
65,95,74,7,2,87.83,1,caught,2,v South Africa,Rajkot,18-Oct-15,ODI # 3695
21,21,19,4,0,110.52,1,caught,1,v South Africa,Chennai,22-Oct-15,ODI # 3698
16,21,20,3,0,80,1,caught,2,v South Africa,Mumbai,25-Oct-15,ODI # 3700
171*,205,163,13,7,104.9,1,not out,1,v Australia,Perth,12-Jan-16,ODI # 3723
124,175,127,11,3,97.63,1,run out,1,v Australia,Brisbane,15-Jan-16,ODI # 3724
6,17,11,0,0,54.54,1,caught,1,v Australia,Melbourne,17-Jan-16,ODI # 3725
41,28,25,2,3,164,1,caught,2,v Australia,Canberra,20-Jan-16,ODI # 3726
99,142,108,9,1,91.66,1,caught,2,v Australia,Sydney,23-Jan-16,ODI # 3727
14,44,26,1,1,53.84,1,lbw,2,v New Zealand,Dharamsala,16-Oct-16,ODI # 3796
15,28,27,1,1,55.55,1,caught,2,v New Zealand,Delhi,20-Oct-16,ODI # 3797
13,35,21,2,0,61.9,1,lbw,2,v New Zealand,Mohali,23-Oct-16,ODI # 3798
11,15,19,2,0,57.89,2,caught,2,v New Zealand,Ranchi,26-Oct-16,ODI # 3799
70,107,65,5,3,107.69,2,caught,1,v New Zealand,Visakhapatnam,29-Oct-16,ODI # 3800
91,146,119,7,2,76.47,1,run out,1,v Pakistan,Birmingham,04-Jun-17,ODI # 3878
78,107,79,6,3,98.73,1,caught,1,v Sri Lanka,The Oval,08-Jun-17,ODI # 3882
12,23,20,1,1,60,1,caught,2,v South Africa,The Oval,11-Jun-17,ODI # 3886
123*,165,129,15,1,95.34,1,not out,2,v Bangladesh,Birmingham,15-Jun-17,ODI # 3891
0,4,3,0,0,0,1,lbw,2,v Pakistan,The Oval,18-Jun-17,ODI # 3894
4,-,13,0,0,30.76,1,run out,2,v Sri Lanka,Dambulla,20-Aug-17,ODI # 3905
54,-,45,5,3,120,1,lbw,2,v Sri Lanka,Pallekele,24-Aug-17,ODI # 3906
124*,-,145,16,2,85.51,1,not out,2,v Sri Lanka,Pallekele,27-Aug-17,ODI # 3907
104,-,88,11,3,118.18,1,caught,1,v Sri Lanka,Colombo (RPS),31-Aug-17,ODI # 3908
16,-,20,1,0,80,1,caught,2,v Sri Lanka,Colombo (RPS),03-Sep-17,ODI # 3909
28,81,44,3,0,63.63,2,caught,1,v Australia,Chennai,17-Sep-17,ODI # 3910
7,24,14,1,0,50,2,caught,1,v Australia,Kolkata,21-Sep-17,ODI # 3912
71,94,62,6,4,114.51,2,caught,2,v Australia,Indore,24-Sep-17,ODI # 3914
65,93,55,1,5,118.18,2,run out,2,v Australia,Bengaluru,28-Sep-17,ODI # 3917
125,165,109,11,5,114.67,2,caught,2,v Australia,Nagpur,01-Oct-17,ODI # 3919
20,27,18,0,2,111.11,1,bowled,1,v New Zealand,Mumbai,22-Oct-17,ODI # 3928
7,17,19,1,0,36.84,1,caught,2,v New Zealand,Pune,25-Oct-17,ODI # 3931
147,168,138,18,2,106.52,1,caught,1,v New Zealand,Kanpur,29-Oct-17,ODI # 3932
2,19,13,0,0,15.38,1,caught,1,v Sri Lanka,Dharamsala,10-Dec-17,ODI # 3939
208*,212,153,13,12,135.94,1,not out,1,v Sri Lanka,Mohali,13-Dec-17,ODI # 3941
7,14,14,0,1,50,1,bowled,2,v Sri Lanka,Visakhapatnam,17-Dec-17,ODI # 3942
20,25,30,2,1,66.66,1,caught,2,v South Africa,Durban,01-Feb-18,ODI # 3969
15,19,17,2,1,88.23,1,caught,2,v South Africa,Centurion,04-Feb-18,ODI # 3970
0,4,6,0,0,0,1,caught,1,v South Africa,Cape Town,07-Feb-18,ODI # 3971
5,19,13,1,0,38.46,1,caught,1,v South Africa,Johannesburg,10-Feb-18,ODI # 3973
115,179,126,11,4,91.26,2,caught,1,v South Africa,Port Elizabeth,13-Feb-18,ODI # 3976
15,14,13,3,0,115.38,2,caught,2,v South Africa,Centurion,16-Feb-18,ODI # 3978
137*,-,114,15,4,120.17,1,not out,2,v England,Nottingham,12-Jul-18,ODI # 4014
15,-,26,2,0,57.69,1,bowled,2,v England,Lord's,14-Jul-18,ODI # 4016
2,24,18,0,0,11.11,1,caught,1,v England,Leeds,17-Jul-18,ODI # 4018
23,-,22,4,0,104.54,1,caught,1,v Hong Kong,Dubai (DSC),18-Sep-18,ODI # 4039
52,-,39,6,3,133.33,1,bowled,2,v Pakistan,Dubai (DSC),19-Sep-18,ODI # 4040
83*,-,104,5,3,79.8,1,not out,2,v Bangladesh,Dubai (DSC),21-Sep-18,ODI # 4042
111*,-,119,7,4,93.27,1,not out,2,v Pakistan,Dubai (DSC),23-Sep-18,ODI # 4044
48,-,55,3,3,87.27,1,caught,2,v Bangladesh,Dubai (DSC),28-Sep-18,ODI # 4048
152*,-,117,15,8,129.91,1,not out,2,v West Indies,Guwahati,21-Oct-18,ODI # 4056
4,14,8,1,0,50,1,caught,1,v West Indies,Visakhapatnam,24-Oct-18,ODI # 4059
8,-,9,2,0,88.88,1,bowled,2,v West Indies,Pune,27-Oct-18,ODI # 4062
162,-,137,20,4,118.24,1,caught,1,v West Indies,Mumbai (BS),29-Oct-18,ODI # 4063
63*,65,56,5,4,112.5,1,not out,2,v West Indies,Thiruvananthapuram,01-Nov-18,ODI # 4064
133,204,129,10,6,103.1,1,caught,2,v Australia,Sydney,12-Jan-19,ODI # 4077
43,71,52,2,2,82.69,1,caught,2,v Australia,Adelaide,15-Jan-19,ODI # 4078
9,-,17,1,0,52.94,1,caught,2,v Australia,Melbourne,18-Jan-19,ODI # 4079
11,38,24,1,0,45.83,1,caught,2,v New Zealand,Napier,23-Jan-19,ODI # 4082
87,116,96,9,3,90.62,1,caught,1,v New Zealand,Mount Maunganui,26-Jan-19,ODI # 4085
62,115,77,3,2,80.51,1,stumped,2,v New Zealand,Mount Maunganui,28-Jan-19,ODI # 4088
7,33,23,0,0,30.43,1,caught,1,v New Zealand,Hamilton,31-Jan-19,ODI # 4091
2,16,16,0,0,12.5,1,bowled,1,v New Zealand,Wellington,03-Feb-19,ODI # 4092
37,-,66,5,0,56.06,1,caught,2,v Australia,Hyderabad (Deccan),02-Mar-19,ODI # 4102
0,-,6,0,0,0,1,caught,1,v Australia,Nagpur,05-Mar-19,ODI # 4106
14,-,14,2,1,100,2,lbw,2,v Australia,Ranchi,08-Mar-19,ODI # 4109
95,-,92,7,2,103.26,1,caught,1,v Australia,Mohali,10-Mar-19,ODI # 4111
56,-,89,4,0,62.92,1,stumped,2,v Australia,Delhi,13-Mar-19,ODI # 4113
122*,212,144,13,2,84.72,2,not out,2,v South Africa,Southampton,05-Jun-19,ODI # 4150
57,101,70,3,1,81.42,1,caught,1,v Australia,The Oval,09-Jun-19,ODI # 4155
140,153,113,14,3,123.89,2,caught,1,v Pakistan,Manchester,16-Jun-19,ODI # 4161
1,60,10,0,0,10,2,bowled,1,v Afghanistan,Southampton,22-Jun-19,ODI # 4169
18,28,23,1,1,78.26,2,caught,1,v West Indies,Manchester,27-Jun-19,ODI # 4175
102,152,109,15,0,93.57,2,caught,2,v England,Birmingham,30-Jun-19,ODI # 4179
104,121,92,7,5,113.04,2,caught,1,v Bangladesh,Birmingham,02-Jul-19,ODI # 4182
103,133,94,14,2,109.57,2,caught,2,v Sri Lanka,Leeds,06-Jul-19,ODI # 4187
1,7,4,0,0,25,2,caught,2,v New Zealand,Manchester,09-Jul-19,ODI # 4190
TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence,08-Aug-19,ODI # 4196
18,75,34,2,0,52.94,2,caught,1,v West Indies,Port of Spain,11-Aug-19,ODI # 4197
10,13,6,2,0,166.66,1,run out,2,v West Indies,Port of Spain,14-Aug-19,ODI # 4199
