Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
58,83,74,6,1,78.37,5,caught,2,vÿPakistan,Guwahati,05-Nov-07,ODI # 2643
34,54,44,3,0,77.27,5,caught,1,vÿPakistan,Mohali,08-Nov-07,ODI # 2644
77,130,95,4,3,81.05,4,caught,1,vÿPakistan,Kanpur,11-Nov-07,ODI # 2645
53*,85,65,4,1,81.53,5,not out,2,vÿPakistan,Gwalior,15-Nov-07,ODI # 2646
50,120,62,3,1,80.64,6,caught,2,vÿPakistan,Jaipur,18-Nov-07,ODI # 2647
2,14,11,0,0,18.18,4,caught,1,vÿSri Lanka,Brisbane,05-Feb-08,ODI # 2672
3,31,14,0,0,21.42,5,caught,2,vÿAustralia,Melbourne,10-Feb-08,ODI # 2675
6,3,3,1,0,200,6,caught,1,vÿSri Lanka,Canberra,12-Feb-08,ODI # 2676
26,65,44,3,1,59.09,5,caught,2,vÿAustralia,Adelaide,17-Feb-08,ODI # 2680
76,115,70,10,1,108.57,5,bowled,2,vÿSri Lanka,Adelaide,19-Feb-08,ODI # 2681
5,6,3,1,0,166.66,5,caught,2,vÿAustralia,Sydney,24-Feb-08,ODI # 2685
36,31,35,4,1,102.85,4,caught,2,vÿSri Lanka,Hobart,26-Feb-08,ODI # 2686
10,33,21,1,0,47.61,4,bowled,2,vÿAustralia,Sydney,02-Mar-08,ODI # 2688
38,27,38,2,2,100,4,caught,1,vÿAustralia,Brisbane,04-Mar-08,ODI # 2689
55,94,54,3,3,101.85,3,bowled,1,vÿPakistan,Dhaka,10-Jun-08,ODI # 2705
26,37,33,1,1,78.78,4,bowled,2,vÿBangladesh,Dhaka,12-Jun-08,ODI # 2706
56,83,59,5,1,94.91,5,caught,2,vÿPakistan,Dhaka,14-Jun-08,ODI # 2707
48,54,47,1,3,102.12,4,caught,2,vÿPakistan,Karachi,26-Jun-08,ODI # 2717
36*,52,35,2,2,102.85,5,not out,2,vÿBangladesh,Karachi,28-Jun-08,ODI # 2721
37,38,32,4,1,115.62,4,caught,1,vÿPakistan,Karachi,02-Jul-08,ODI # 2730
36*,48,31,3,1,116.12,5,not out,2,vÿSri Lanka,Karachi,03-Jul-08,ODI # 2732
0,2,2,0,0,0,4,bowled,2,vÿSri Lanka,Karachi,06-Jul-08,ODI # 2735
23,70,30,2,1,76.66,4,bowled,1,vÿSri Lanka,Dambulla,18-Aug-08,ODI # 2742
20,40,32,4,0,62.5,4,lbw,2,vÿSri Lanka,Dambulla,20-Aug-08,ODI # 2745
12,25,17,0,1,70.58,3,caught,1,vÿSri Lanka,Colombo (RPS),24-Aug-08,ODI # 2750
0,12,6,0,0,0,3,caught,1,vÿSri Lanka,Colombo (RPS),27-Aug-08,ODI # 2755
17,46,23,2,0,73.91,3,bowled,2,vÿSri Lanka,Colombo (RPS),29-Aug-08,ODI # 2756
138*,125,78,16,6,176.92,4,not out,1,vÿEngland,Rajkot,14-Nov-08,ODI # 2774
118,153,122,15,2,96.72,5,caught,1,vÿEngland,Indore,17-Nov-08,ODI # 2777
38,62,31,2,1,122.58,5,caught,2,vÿEngland,Kanpur,20-Nov-08,ODI # 2778
25*,16,11,0,3,227.27,4,not out,1,vÿEngland,Bengaluru,23-Nov-08,ODI # 2781
6,13,9,0,0,66.66,3,caught,2,vÿEngland,Cuttack,26-Nov-08,ODI # 2783
23,52,40,2,0,57.5,4,caught,2,vÿSri Lanka,Dambulla,28-Jan-09,ODI # 2806
66,100,88,7,1,75,4,lbw,1,vÿSri Lanka,Colombo (RPS),31-Jan-09,ODI # 2810
117,126,95,17,1,123.15,4,caught,1,vÿSri Lanka,Colombo (RPS),03-Feb-09,ODI # 2813
5,5,6,1,0,83.33,4,bowled,1,vÿSri Lanka,Colombo (RPS),05-Feb-09,ODI # 2815
73,86,62,11,1,117.74,4,caught,2,vÿSri Lanka,Colombo (RPS),08-Feb-09,ODI # 2818
2,17,13,0,0,15.38,4,run out,1,vÿNew Zealand,Napier,03-Mar-09,ODI # 2821
0,5,4,0,0,0,4,caught,1,vÿNew Zealand,Wellington,06-Mar-09,ODI # 2822
87,82,60,10,6,145,4,caught,1,vÿNew Zealand,Christchurch,08-Mar-09,ODI # 2823
DNB,-,-,-,-,-,-,-,2,vÿNew Zealand,Hamilton,11-Mar-09,ODI # 2824
11,26,24,0,0,45.83,5,caught,1,vÿNew Zealand,Auckland,14-Mar-09,ODI # 2825
131,134,102,10,7,128.43,4,caught,1,vÿWest Indies,Kingston,26-Jun-09,ODI # 2852
35,47,33,5,1,106.06,4,caught,1,vÿWest Indies,Kingston,28-Jun-09,ODI # 2853
2,8,6,0,0,33.33,4,caught,2,vÿWest Indies,Gros Islet,03-Jul-09,ODI # 2854
TDNB,-,-,-,-,-,-,-,-,vÿWest Indies,Gros Islet,05-Jul-09,ODI # 2855
8,22,13,2,0,61.53,4,caught,2,vÿNew Zealand,Colombo (RPS),11-Sep-09,ODI # 2886
16,29,22,2,0,72.72,4,caught,2,vÿSri Lanka,Colombo (RPS),12-Sep-09,ODI # 2887
56*,75,41,6,1,136.58,4,not out,1,vÿSri Lanka,Colombo (RPS),14-Sep-09,ODI # 2889
23,24,24,2,1,95.83,4,caught,1,vÿAustralia,Nagpur,28-Oct-09,ODI # 2915
78,146,96,8,2,81.25,4,lbw,2,vÿAustralia,Delhi,31-Oct-09,ODI # 2918
12,41,21,0,0,57.14,4,run out,2,vÿAustralia,Mohali,02-Nov-09,ODI # 2919
9,21,10,1,0,90,4,caught,2,vÿAustralia,Hyderabad (Deccan),05-Nov-09,ODI # 2923
6,29,16,1,0,37.5,4,bowled,1,vÿAustralia,Guwahati,08-Nov-09,ODI # 2925
23,46,40,3,0,57.5,4,caught,2,vÿSri Lanka,Cuttack,21-Dec-09,ODI # 2934
74,127,84,6,2,88.09,4,caught,1,vÿSri Lanka,Dhaka,05-Jan-10,ODI # 2938
1,5,4,0,0,25,4,bowled,2,vÿBangladesh,Dhaka,07-Jan-10,ODI # 2939
8*,24,7,0,0,114.28,4,not out,2,vÿSri Lanka,Dhaka,10-Jan-10,ODI # 2941
13,28,25,1,0,52,4,lbw,2,vÿBangladesh,Dhaka,11-Jan-10,ODI # 2942
0,8,3,0,0,0,4,caught,1,vÿSri Lanka,Dhaka,13-Jan-10,ODI # 2943
5,50,25,1,0,20,4,caught,2,vÿNew Zealand,Dambulla,10-Aug-10,ODI # 3030
38,-,64,5,1,59.37,4,lbw,1,vÿSri Lanka,Dambulla,22-Aug-10,ODI # 3038
6,29,19,1,0,31.57,4,caught,1,vÿNew Zealand,Dambulla,25-Aug-10,ODI # 3039
26,46,31,4,0,83.87,4,caught,2,vÿSri Lanka,Dambulla,28-Aug-10,ODI # 3040
58,108,87,5,0,66.66,4,bowled,2,vÿAustralia,Visakhapatnam,20-Oct-10,ODI # 3060
42,77,64,7,0,65.62,4,caught,1,vÿNew Zealand,Guwahati,28-Nov-10,ODI # 3070
16*,25,11,1,1,145.45,4,not out,2,vÿNew Zealand,Jaipur,01-Dec-10,ODI # 3072
DNB,-,-,-,-,-,-,-,2,vÿNew Zealand,Vadodara,04-Dec-10,ODI # 3074
20,38,28,1,1,71.42,4,caught,2,vÿNew Zealand,Bengaluru,07-Dec-10,ODI # 3076
42*,63,46,6,2,91.3,4,not out,2,vÿNew Zealand,Chennai,10-Dec-10,ODI # 3077
2,4,4,0,0,50,5,caught,2,vÿSouth Africa,Durban,12-Jan-11,ODI # 3079
53,74,68,4,0,77.94,4,caught,1,vÿSouth Africa,Johannesburg,15-Jan-11,ODI # 3080
16,43,27,2,0,59.25,4,lbw,2,vÿSouth Africa,Cape Town,18-Jan-11,ODI # 3082
12,22,20,1,1,60,4,caught,2,vÿSouth Africa,Port Elizabeth,21-Jan-11,ODI # 3084
8,18,14,2,0,57.14,5,caught,2,vÿSouth Africa,Centurion,23-Jan-11,ODI # 3087
DNB,-,-,-,-,-,-,-,1,vÿBangladesh,Dhaka,19-Feb-11,ODI # 3100
58,76,50,9,0,116,4,caught,1,vÿEngland,Bengaluru,27-Feb-11,ODI # 3110
50*,108,75,3,0,66.66,5,not out,2,vÿIreland,Bengaluru,06-Mar-11,ODI # 3121
51*,93,73,7,0,69.86,6,not out,2,vÿNetherlands,Delhi,09-Mar-11,ODI # 3124
12,15,9,0,1,133.33,5,caught,1,vÿSouth Africa,Nagpur,12-Mar-11,ODI # 3128
113,163,123,10,2,91.86,4,caught,1,vÿWest Indies,Chennai,20-Mar-11,ODI # 3141
57*,90,65,8,0,87.69,5,not out,2,vÿAustralia,Ahmedabad,24-Mar-11,ODI # 3143
0,1,1,0,0,0,5,bowled,1,vÿPakistan,Mohali,30-Mar-11,ODI # 3147
21*,39,24,2,0,87.5,6,not out,2,vÿSri Lanka,Mumbai,02-Apr-11,ODI # 3148
2,6,3,0,0,66.66,4,bowled,1,vÿPakistan,Chennai,30-Dec-12,ODI # 3314
9,30,19,0,0,47.36,4,caught,2,vÿPakistan,Kolkata,03-Jan-13,ODI # 3315
23,40,23,4,0,100,4,bowled,1,vÿPakistan,Delhi,06-Jan-13,ODI # 3316
61,63,54,8,1,112.96,4,caught,2,vÿEngland,Rajkot,11-Jan-13,ODI # 3318
32,47,37,5,0,86.48,4,lbw,1,vÿEngland,Kochi,15-Jan-13,ODI # 3320
30,31,21,6,0,142.85,4,bowled,2,vÿEngland,Ranchi,19-Jan-13,ODI # 3322
3,27,16,0,0,18.75,4,lbw,2,vÿEngland,Mohali,23-Jan-13,ODI # 3327
0,14,3,0,0,0,4,caught,1,vÿEngland,Dharamsala,27-Jan-13,ODI # 3329
7,8,7,0,1,100,5,caught,2,vÿAustralia,Pune,13-Oct-13,ODI # 3419
DNB,-,-,-,-,-,-,-,2,vÿAustralia,Jaipur,16-Oct-13,ODI # 3420
0,1,1,0,0,0,5,caught,1,vÿAustralia,Mohali,19-Oct-13,ODI # 3421
DNB,-,-,-,-,-,-,-,2,vÿAustralia,Ranchi,23-Oct-13,ODI # 3422
0,2,3,0,0,0,5,bowled,2,vÿAustralia,Nagpur,30-Oct-13,ODI # 3424
12,20,14,0,1,85.71,5,caught,1,vÿAustralia,Bengaluru,02-Nov-13,ODI # 3428
16*,53,29,2,0,55.17,4,not out,2,vÿWest Indies,Kochi,21-Nov-13,ODI # 3436
28,55,49,3,1,57.14,4,caught,1,vÿWest Indies,Visakhapatnam,24-Nov-13,ODI # 3437
55,91,74,7,0,74.32,4,caught,2,vÿWest Indies,Kanpur,27-Nov-13,ODI # 3439
0,2,2,0,0,0,4,bowled,2,vÿSouth Africa,Johannesburg,05-Dec-13,ODI # 3442
TDNB,-,-,-,-,-,-,-,-,vÿSouth Africa,Centurion,11-Dec-13,ODI # 3444
15,21,12,2,1,125,4,caught,2,vÿEngland,Pune,15-Jan-17,ODI # 3819
150,183,127,21,3,118.11,4,caught,1,vÿEngland,Cuttack,19-Jan-17,ODI # 3821
45,82,57,5,1,78.94,4,caught,2,vÿEngland,Kolkata,22-Jan-17,ODI # 3824
53,49,32,8,1,165.62,4,lbw,1,vÿPakistan,Birmingham,04-Jun-17,ODI # 3878
7,33,18,0,0,38.88,4,bowled,1,vÿSri Lanka,The Oval,08-Jun-17,ODI # 3882
23*,29,25,1,1,92,4,not out,2,vÿSouth Africa,The Oval,11-Jun-17,ODI # 3886
DNB,-,-,-,-,-,-,-,2,vÿBangladesh,Birmingham,15-Jun-17,ODI # 3891
22,49,31,4,0,70.96,4,lbw,2,vÿPakistan,The Oval,18-Jun-17,ODI # 3894
4,-,10,0,0,40,4,caught,1,vÿWest Indies,Port of Spain,23-Jun-17,ODI # 3895
14,-,10,1,0,140,5,caught,1,vÿWest Indies,Port of Spain,25-Jun-17,ODI # 3896
39,-,55,4,0,70.9,4,lbw,1,vÿWest Indies,North Sound,30-Jun-17,ODI # 3898
