Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
68,95,65,6,1,104.61,2,caught,1,v˜Pakistan,Birmingham,04-Jun-17,ODI # 3878
125,198,128,15,1,97.65,2,caught,1,v˜Sri Lanka,The Oval,08-Jun-17,ODI # 3882
78,130,83,12,1,93.97,2,caught,2,v˜South Africa,The Oval,11-Jun-17,ODI # 3886
46,67,34,7,1,135.29,2,caught,2,v˜Bangladesh,Birmingham,15-Jun-17,ODI # 3891
21,42,22,4,0,95.45,2,caught,2,v˜Pakistan,The Oval,18-Jun-17,ODI # 3894
87,-,92,8,2,94.56,2,lbw,1,v˜West Indies,Port of Spain,23-Jun-17,ODI # 3895
63,-,59,10,0,106.77,2,stumped,1,v˜West Indies,Port of Spain,25-Jun-17,ODI # 3896
2,-,6,0,0,33.33,2,caught,1,v˜West Indies,North Sound,30-Jun-17,ODI # 3898
5,-,7,0,0,71.42,2,caught,2,v˜West Indies,North Sound,02-Jul-17,ODI # 3900
4,-,3,1,0,133.33,2,caught,2,v˜West Indies,Kingston,06-Jul-17,ODI # 3902
132*,-,90,20,3,146.66,2,not out,2,v˜Sri Lanka,Dambulla,20-Aug-17,ODI # 3905
49,-,50,6,1,98,2,caught,2,v˜Sri Lanka,Pallekele,24-Aug-17,ODI # 3906
5,-,3,1,0,166.66,2,bowled,2,v˜Sri Lanka,Pallekele,27-Aug-17,ODI # 3907
4,-,6,1,0,66.66,2,caught,1,v˜Sri Lanka,Colombo (RPS),31-Aug-17,ODI # 3908
9,15,12,1,0,75,2,caught,1,v˜New Zealand,Mumbai,22-Oct-17,ODI # 3928
68,125,84,5,2,80.95,2,caught,2,v˜New Zealand,Pune,25-Oct-17,ODI # 3931
14,29,20,3,0,70,2,caught,1,v˜New Zealand,Kanpur,29-Oct-17,ODI # 3932
0,8,6,0,0,0,2,lbw,1,v˜Sri Lanka,Dharamsala,10-Dec-17,ODI # 3939
68,87,67,9,0,101.49,2,caught,1,v˜Sri Lanka,Mohali,13-Dec-17,ODI # 3941
100*,140,85,13,2,117.64,2,not out,2,v˜Sri Lanka,Visakhapatnam,17-Dec-17,ODI # 3942
35,53,29,6,0,120.68,2,run out,2,v˜South Africa,Durban,01-Feb-18,ODI # 3969
51*,84,56,9,0,91.07,2,not out,2,v˜South Africa,Centurion,04-Feb-18,ODI # 3970
76,105,63,12,0,120.63,2,caught,1,v˜South Africa,Cape Town,07-Feb-18,ODI # 3971
109,163,105,10,2,103.8,2,caught,1,v˜South Africa,Johannesburg,10-Feb-18,ODI # 3973
34,30,23,8,0,147.82,1,caught,1,v˜South Africa,Port Elizabeth,13-Feb-18,ODI # 3976
18,56,34,2,0,52.94,1,caught,2,v˜South Africa,Centurion,16-Feb-18,ODI # 3978
40,-,27,8,0,148.14,2,caught,2,v˜England,Nottingham,12-Jul-18,ODI # 4014
36,-,30,6,0,120,2,caught,2,v˜England,Lord's,14-Jul-18,ODI # 4016
44,75,49,7,0,89.79,2,run out,1,v˜England,Leeds,17-Jul-18,ODI # 4018
127,-,120,15,2,105.83,2,caught,1,v˜Hong Kong,Dubai (DSC),18-Sep-18,ODI # 4039
46,-,54,6,1,85.18,2,caught,2,v˜Pakistan,Dubai (DSC),19-Sep-18,ODI # 4040
40,-,47,4,1,85.1,2,lbw,2,v˜Bangladesh,Dubai (DSC),21-Sep-18,ODI # 4042
114,-,100,16,2,114,2,run out,2,v˜Pakistan,Dubai (DSC),23-Sep-18,ODI # 4044
15,-,14,3,0,107.14,2,caught,2,v˜Bangladesh,Dubai (DSC),28-Sep-18,ODI # 4048
4,-,6,1,0,66.66,2,bowled,2,v˜West Indies,Guwahati,21-Oct-18,ODI # 4056
29,40,30,4,1,96.66,2,lbw,1,v˜West Indies,Visakhapatnam,24-Oct-18,ODI # 4059
35,-,45,5,0,77.77,2,lbw,2,v˜West Indies,Pune,27-Oct-18,ODI # 4062
38,-,40,4,2,95,2,caught,1,v˜West Indies,Mumbai (BS),29-Oct-18,ODI # 4063
6,7,5,1,0,120,2,bowled,2,v˜West Indies,Thiruvananthapuram,01-Nov-18,ODI # 4064
0,4,1,0,0,0,2,lbw,2,v˜Australia,Sydney,12-Jan-19,ODI # 4077
32,31,28,5,0,114.28,2,caught,2,v˜Australia,Adelaide,15-Jan-19,ODI # 4078
23,-,46,0,0,50,2,caught,2,v˜Australia,Melbourne,18-Jan-19,ODI # 4079
75*,142,103,6,0,72.81,2,not out,2,v˜New Zealand,Napier,23-Jan-19,ODI # 4082
66,99,67,9,0,98.5,2,caught,1,v˜New Zealand,Mount Maunganui,26-Jan-19,ODI # 4085
28,32,27,6,0,103.7,2,caught,2,v˜New Zealand,Mount Maunganui,28-Jan-19,ODI # 4088
13,23,20,1,1,65,2,lbw,1,v˜New Zealand,Hamilton,31-Jan-19,ODI # 4091
6,24,13,1,0,46.15,2,caught,1,v˜New Zealand,Wellington,03-Feb-19,ODI # 4092
0,-,1,0,0,0,2,caught,2,v˜Australia,Hyderabad (Deccan),02-Mar-19,ODI # 4102
21,-,29,4,0,72.41,2,lbw,1,v˜Australia,Nagpur,05-Mar-19,ODI # 4106
1,-,10,0,0,10,1,caught,2,v˜Australia,Ranchi,08-Mar-19,ODI # 4109
143,-,115,18,3,124.34,2,bowled,1,v˜Australia,Mohali,10-Mar-19,ODI # 4111
12,-,15,2,0,80,2,caught,2,v˜Australia,Delhi,13-Mar-19,ODI # 4113
8,23,12,1,0,66.66,1,caught,2,v˜South Africa,Southampton,05-Jun-19,ODI # 4150
117,163,109,16,0,107.33,2,caught,1,v˜Australia,The Oval,09-Jun-19,ODI # 4155
TDNB,-,-,-,-,-,-,-,-,v˜West Indies,Providence,08-Aug-19,ODI # 4196
2,4,3,0,0,66.66,1,lbw,1,v˜West Indies,Port of Spain,11-Aug-19,ODI # 4197
36,53,36,5,0,100,2,caught,2,v˜West Indies,Port of Spain,14-Aug-19,ODI # 4199
