Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
56,91,71,2,1,78.87,4,bowled,2,v˜Pakistan,Dambulla,19-Jun-10,ODI # 2996
41,59,53,6,0,77.35,6,run out,1,v˜Sri Lanka,Dambulla,22-Jun-10,ODI # 2999
38,51,50,2,1,76,4,caught,1,v˜Sri Lanka,Dambulla,24-Jun-10,ODI # 3001
2,14,9,0,0,22.22,6,run out,2,v˜New Zealand,Dambulla,10-Aug-10,ODI # 3030
23*,56,38,2,0,60.52,6,not out,2,v˜Sri Lanka,Dambulla,16-Aug-10,ODI # 3032
10,-,16,2,0,62.5,6,caught,1,v˜Sri Lanka,Dambulla,22-Aug-10,ODI # 3038
38,96,75,3,0,50.66,6,caught,1,v˜New Zealand,Dambulla,25-Aug-10,ODI # 3039
67,140,100,5,1,67,5,bowled,2,v˜Sri Lanka,Dambulla,28-Aug-10,ODI # 3040
0,3,1,0,0,0,6,bowled,2,v˜Australia,Visakhapatnam,20-Oct-10,ODI # 3060
25,48,35,1,0,71.42,6,run out,2,v˜South Africa,Durban,12-Jan-11,ODI # 3079
38,101,61,1,0,62.29,5,bowled,1,v˜South Africa,Johannesburg,15-Jan-11,ODI # 3080
5,15,12,1,0,41.66,5,caught,2,v˜South Africa,Cape Town,18-Jan-11,ODI # 3082
2,9,8,0,0,25,6,caught,2,v˜South Africa,Port Elizabeth,21-Jan-11,ODI # 3084
5,11,10,1,0,50,4,caught,2,v˜South Africa,Centurion,23-Jan-11,ODI # 3087
DNB,-,-,-,-,-,-,-,1,v˜Bangladesh,Dhaka,19-Feb-11,ODI # 3100
31,38,25,3,1,124,5,caught,1,v˜England,Bengaluru,27-Feb-11,ODI # 3110
34,68,50,2,0,68,6,lbw,2,v˜Ireland,Bengaluru,06-Mar-11,ODI # 3121
19*,56,40,2,0,47.5,7,not out,2,v˜Netherlands,Delhi,09-Mar-11,ODI # 3124
12*,37,21,0,0,57.14,6,not out,1,v˜South Africa,Nagpur,12-Mar-11,ODI # 3128
22,41,30,1,0,73.33,5,stumped,1,v˜West Indies,Chennai,20-Mar-11,ODI # 3141
7,19,8,1,0,87.5,6,caught,2,v˜Australia,Ahmedabad,24-Mar-11,ODI # 3143
25,64,42,2,0,59.52,6,lbw,1,v˜Pakistan,Mohali,30-Mar-11,ODI # 3147
91*,128,79,8,2,115.18,5,not out,2,v˜Sri Lanka,Mumbai,02-Apr-11,ODI # 3148
33,41,36,2,0,91.66,7,caught,1,v˜England,Chester-le-Street,03-Sep-11,ODI # 3186
6,9,5,1,0,120,6,caught,1,v˜England,Southampton,06-Sep-11,ODI # 3187
69,142,103,5,0,66.99,6,caught,1,v˜England,The Oval,09-Sep-11,ODI # 3189
78*,110,71,6,3,109.85,6,not out,1,v˜England,Lord's,11-Sep-11,ODI # 3191
50*,35,26,5,2,192.3,6,not out,1,v˜England,Cardiff,16-Sep-11,ODI # 3195
87*,104,70,10,1,124.28,6,not out,1,v˜England,Hyderabad (Deccan),14-Oct-11,ODI # 3199
DNB,-,-,-,-,-,-,-,2,v˜England,Delhi,17-Oct-11,ODI # 3201
35*,53,31,3,0,112.9,6,not out,2,v˜England,Mohali,20-Oct-11,ODI # 3205
15*,-,18,1,1,83.33,6,not out,2,v˜England,Mumbai,23-Oct-11,ODI # 3207
75*,103,69,3,4,108.69,6,not out,1,v˜England,Kolkata,25-Oct-11,ODI # 3210
