Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
114,150,102,10,6,111.76,1,caught,2,vÿAustralia,Sydney,04-Dec-16,ODI # 3811
45,40,33,7,1,136.36,1,caught,2,vÿAustralia,Canberra,06-Dec-16,ODI # 3812
34,66,40,3,0,85,1,caught,2,vÿAustralia,Melbourne,09-Dec-16,ODI # 3813
15,25,19,1,1,78.94,1,caught,1,vÿBangladesh,Christchurch,26-Dec-16,ODI # 3814
0,-,4,0,0,0,1,lbw,1,vÿBangladesh,Nelson,29-Dec-16,ODI # 3815
6*,17,5,1,0,120,1,retired notout,2,vÿBangladesh,Nelson,31-Dec-16,ODI # 3816
61,107,73,8,0,83.56,1,bowled,1,vÿAustralia,Auckland,30-Jan-17,ODI # 3829
180*,198,138,15,11,130.43,1,not out,2,vÿSouth Africa,Hamilton,01-Mar-17,ODI # 3843
4,17,16,1,0,25,1,bowled,1,vÿSouth Africa,Auckland,04-Mar-17,ODI # 3846
26,27,22,5,0,118.18,1,caught,1,vÿAustralia,Birmingham,02-Jun-17,ODI # 3876
27,56,33,4,0,81.81,1,caught,2,vÿEngland,Cardiff,06-Jun-17,ODI # 3880
33,61,35,4,1,94.28,1,lbw,1,vÿBangladesh,Cardiff,09-Jun-17,ODI # 3883
32,76,48,5,0,66.66,1,caught,2,vÿIndia,Mumbai,22-Oct-17,ODI # 3928
11,12,9,2,0,122.22,1,caught,1,vÿIndia,Pune,25-Oct-17,ODI # 3931
10,24,14,1,0,71.42,1,caught,2,vÿIndia,Kanpur,29-Oct-17,ODI # 3932
48,118,72,4,2,66.66,1,caught,1,vÿPakistan,Wellington,06-Jan-18,ODI # 3946
86*,104,71,5,5,121.12,1,not out,2,vÿPakistan,Nelson,09-Jan-18,ODI # 3947
45,86,62,4,1,72.58,1,run out,1,vÿPakistan,Dunedin,13-Jan-18,ODI # 3949
31,64,49,3,0,63.26,1,caught,2,vÿPakistan,Hamilton,16-Jan-18,ODI # 3953
100,171,126,10,1,79.36,1,caught,1,vÿPakistan,Wellington,19-Jan-18,ODI # 3957
13,41,29,2,0,44.82,1,caught,2,vÿEngland,Hamilton,25-Feb-18,ODI # 3980
50,99,87,7,0,57.47,1,caught,1,vÿEngland,Mount Maunganui,28-Feb-18,ODI # 3981
3,9,4,0,0,75,1,caught,2,vÿEngland,Wellington,03-Mar-18,ODI # 3982
0,13,10,0,0,0,1,caught,2,vÿEngland,Dunedin,07-Mar-18,ODI # 3989
47,91,68,3,1,69.11,1,caught,1,vÿEngland,Christchurch,10-Mar-18,ODI # 3992
138,-,139,11,5,99.28,1,caught,1,vÿSri Lanka,Mount Maunganui,03-Jan-19,ODI # 4074
13,-,15,1,0,86.66,1,caught,1,vÿSri Lanka,Mount Maunganui,05-Jan-19,ODI # 4075
2,-,5,0,0,40,1,caught,1,vÿSri Lanka,Nelson,08-Jan-19,ODI # 4076
