Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINO
34*,48,24,2,1,141.66,5,not out,1,vÿBangladesh,Napier,28-Dec-07,ODI # 2659
DNB,-,-,-,-,-,-,-,2,vÿBangladesh,Queenstown,31-Dec-07,ODI # 2660
24*,51,39,2,1,61.53,4,not out,2,vÿEngland,Wellington,09-Feb-08,ODI # 2674
DNB,-,-,-,-,-,-,-,2,vÿEngland,Hamilton,12-Feb-08,ODI # 2677
31,84,49,1,1,63.26,4,lbw,1,vÿEngland,Auckland,15-Feb-08,ODI # 2678
48,54,47,4,1,102.12,4,caught,2,vÿEngland,Napier,20-Feb-08,ODI # 2682
41*,100,52,7,0,78.84,4,not out,2,vÿEngland,Christchurch,23-Feb-08,ODI # 2684
20,46,34,1,0,58.82,4,caught,2,vÿEngland,Chester-le-Street,15-Jun-08,ODI # 2708
25,28,21,5,0,119.04,3,caught,2,vÿEngland,Birmingham,18-Jun-08,ODI # 2709
8,44,30,0,0,26.66,3,bowled,1,vÿEngland,Bristol,21-Jun-08,ODI # 2710
6,22,15,1,0,40,3,caught,2,vÿEngland,The Oval,25-Jun-08,ODI # 2714
4,18,15,0,0,26.66,3,caught,1,vÿEngland,Lord's,28-Jun-08,ODI # 2720
59*,-,24,5,4,245.83,3,not out,1,vÿIreland,Aberdeen,01-Jul-08,ODI # 2727
61*,58,41,8,2,148.78,3,not out,2,vÿScotland,Aberdeen,03-Jul-08,ODI # 2731
2,7,4,0,0,50,4,caught,1,vÿBangladesh,Dhaka,09-Oct-08,ODI # 2763
33,93,54,2,2,61.11,4,caught,1,vÿBangladesh,Dhaka,11-Oct-08,ODI # 2764
103,174,119,5,4,86.55,4,caught,1,vÿBangladesh,Chattogram,14-Oct-08,ODI # 2765
TDNB,-,-,-,-,-,-,-,-,vÿWest Indies,Queenstown,31-Dec-08,ODI # 2786
13,32,20,0,0,65,4,caught,1,vÿWest Indies,Christchurch,03-Jan-09,ODI # 2787
51*,74,50,5,3,102,4,not out,2,vÿWest Indies,Wellington,07-Jan-09,ODI # 2788
75,99,87,6,1,86.2,4,bowled,1,vÿWest Indies,Auckland,10-Jan-09,ODI # 2789
48*,107,71,3,0,67.6,4,not out,2,vÿWest Indies,Napier,13-Jan-09,ODI # 2792
64,175,97,6,1,65.97,4,caught,2,vÿAustralia,Perth,01-Feb-09,ODI # 2811
47,112,74,3,0,63.51,4,caught,2,vÿAustralia,Melbourne,06-Feb-09,ODI # 2816
4,3,2,1,0,200,3,lbw,2,vÿAustralia,Sydney,08-Feb-09,ODI # 2817
76,115,71,6,2,107.04,4,caught,1,vÿAustralia,Adelaide,10-Feb-09,ODI # 2819
4,6,3,1,0,133.33,4,caught,2,vÿAustralia,Brisbane,13-Feb-09,ODI # 2820
31,31,24,3,0,129.16,4,caught,2,vÿIndia,Napier,03-Mar-09,ODI # 2821
TDNB,-,-,-,-,-,-,-,-,vÿIndia,Wellington,06-Mar-09,ODI # 2822
7,9,6,1,0,116.66,3,run out,2,vÿIndia,Christchurch,08-Mar-09,ODI # 2823
5,11,13,0,0,38.46,3,caught,1,vÿIndia,Hamilton,11-Mar-09,ODI # 2824
28*,37,33,4,1,84.84,4,not out,2,vÿIndia,Auckland,14-Mar-09,ODI # 2825
2,3,4,0,0,50,4,lbw,2,vÿSri Lanka,Colombo (RPS),08-Sep-09,ODI # 2884
11,15,15,2,0,73.33,4,caught,1,vÿIndia,Colombo (RPS),11-Sep-09,ODI # 2886
72,138,106,6,2,67.92,4,lbw,1,vÿSouth Africa,Centurion,24-Sep-09,ODI # 2895
4,4,2,1,0,200,4,caught,1,vÿSri Lanka,Johannesburg,27-Sep-09,ODI # 2899
1,4,3,0,0,33.33,4,caught,2,vÿEngland,Johannesburg,29-Sep-09,ODI # 2902
38,89,61,1,2,62.29,4,bowled,2,vÿPakistan,Johannesburg,03-Oct-09,ODI # 2906
6,19,13,0,0,46.15,4,caught,1,vÿAustralia,Centurion,05-Oct-09,ODI # 2907
0,1,5,0,0,0,4,caught,2,vÿPakistan,Abu Dhabi,03-Nov-09,ODI # 2921
