Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
13,39,21,1,0,61.9,6,caught,1,vÿBangladesh,Dhaka,12-Jul-15,ODI # 3666
51,99,70,3,0,72.85,6,caught,1,vÿBangladesh,Chattogram,15-Jul-15,ODI # 3668
15,21,17,0,1,88.23,6,caught,1,vÿIndia,Kanpur,11-Oct-15,ODI # 3689
36,52,46,3,0,78.26,4,lbw,2,vÿIndia,Indore,14-Oct-15,ODI # 3692
14,27,14,1,0,100,6,caught,1,vÿIndia,Rajkot,18-Oct-15,ODI # 3695
13,31,21,1,0,61.9,5,caught,2,vÿEngland,Bloemfontein,03-Feb-16,ODI # 3732
47,83,66,2,0,71.21,5,lbw,1,vÿEngland,Port Elizabeth,06-Feb-16,ODI # 3734
DNB,-,-,-,-,-,-,-,2,vÿEngland,Centurion,09-Feb-16,ODI # 3736
31,-,49,3,0,63.26,5,lbw,2,vÿEngland,Johannesburg,12-Feb-16,ODI # 3737
23,50,34,0,0,67.64,5,bowled,1,vÿWest Indies,Providence,03-Jun-16,ODI # 3739
13,26,22,0,0,59.09,5,bowled,1,vÿAustralia,Providence,07-Jun-16,ODI # 3741
41,59,39,4,1,105.12,5,caught,2,vÿAustralia,Basseterre,11-Jun-16,ODI # 3743
10*,12,5,0,1,200,6,not out,1,vÿWest Indies,Basseterre,15-Jun-16,ODI # 3747
DNB,-,-,-,-,-,-,-,1,vÿAustralia,Bridgetown,19-Jun-16,ODI # 3750
5,-,7,0,0,71.42,6,caught,2,vÿWest Indies,Bridgetown,24-Jun-16,ODI # 3754
52*,75,43,4,1,120.93,4,not out,1,vÿIreland,Benoni,25-Sep-16,ODI # 3780
9,8,8,2,0,112.5,4,caught,2,vÿAustralia,Centurion,30-Sep-16,ODI # 3785
82,77,58,10,3,141.37,4,bowled,1,vÿAustralia,Johannesburg,02-Oct-16,ODI # 3787
20,44,26,0,0,76.92,5,caught,2,vÿAustralia,Durban,05-Oct-16,ODI # 3790
25,53,45,4,0,55.55,4,caught,2,vÿAustralia,Port Elizabeth,09-Oct-16,ODI # 3792
73,109,75,8,0,97.33,5,caught,1,vÿAustralia,Cape Town,12-Oct-16,ODI # 3795
DNB,-,-,-,-,-,-,-,2,vÿSri Lanka,Port Elizabeth,28-Jan-17,ODI # 3828
11,27,19,0,0,57.89,5,caught,1,vÿSri Lanka,Durban,01-Feb-17,ODI # 3830
28*,50,40,2,0,70,5,not out,2,vÿSri Lanka,Johannesburg,04-Feb-17,ODI # 3831
20,30,22,2,0,90.9,5,caught,1,vÿSri Lanka,Cape Town,07-Feb-17,ODI # 3833
10,23,12,1,0,83.33,5,caught,1,vÿSri Lanka,Centurion,10-Feb-17,ODI # 3834
1,5,4,0,0,25,5,caught,2,vÿNew Zealand,Hamilton,19-Feb-17,ODI # 3836
34,44,44,3,0,77.27,4,stumped,2,vÿNew Zealand,Christchurch,22-Feb-17,ODI # 3839
16,43,34,1,0,47.05,5,run out,1,vÿNew Zealand,Wellington,25-Feb-17,ODI # 3841
25,60,41,1,0,60.97,4,bowled,1,vÿNew Zealand,Hamilton,01-Mar-17,ODI # 3843
3,15,10,0,0,30,4,caught,2,vÿNew Zealand,Auckland,04-Mar-17,ODI # 3846
15,21,18,1,0,83.33,5,caught,2,vÿEngland,Leeds,24-May-17,ODI # 3872
28*,58,43,3,0,65.11,3,not out,2,vÿEngland,Lord's,29-May-17,ODI # 3874
38*,48,20,5,1,190,6,not out,1,vÿSri Lanka,The Oval,03-Jun-17,ODI # 3877
8,24,14,0,0,57.14,6,caught,1,vÿPakistan,Birmingham,07-Jun-17,ODI # 3881
20*,70,41,1,0,48.78,6,not out,1,vÿIndia,The Oval,11-Jun-17,ODI # 3886
DNB,-,-,-,-,-,-,-,2,vÿBangladesh,Kimberley,15-Oct-17,ODI # 3923
30,62,30,0,1,100,5,lbw,1,vÿBangladesh,Paarl,18-Oct-17,ODI # 3925
12,16,18,1,0,66.66,5,bowled,1,vÿIndia,Durban,01-Feb-18,ODI # 3969
25,59,39,2,0,64.1,4,lbw,1,vÿIndia,Centurion,04-Feb-18,ODI # 3970
51,83,67,4,0,76.11,3,lbw,2,vÿIndia,Cape Town,07-Feb-18,ODI # 3971
10,19,14,0,0,71.42,3,lbw,2,vÿIndia,Johannesburg,10-Feb-18,ODI # 3973
1,7,5,0,0,20,3,caught,2,vÿIndia,Port Elizabeth,13-Feb-18,ODI # 3976
53*,-,32,6,2,165.62,5,not out,2,vÿSri Lanka,Dambulla,29-Jul-18,ODI # 4025
32,-,29,1,1,110.34,5,caught,2,vÿSri Lanka,Dambulla,01-Aug-18,ODI # 4027
92,-,70,8,4,131.42,5,caught,1,vÿSri Lanka,Pallekele,05-Aug-18,ODI # 4029
38,-,23,3,2,165.21,4,run out,2,vÿSri Lanka,Pallekele,08-Aug-18,ODI # 4030
12,-,13,1,0,92.3,6,caught,2,vÿSri Lanka,Colombo (RPS),12-Aug-18,ODI # 4031
16*,41,29,2,0,55.17,6,not out,2,vÿZimbabwe,Kimberley,30-Sep-18,ODI # 4049
5,25,20,0,0,25,7,lbw,1,vÿZimbabwe,Bloemfontein,03-Oct-18,ODI # 4050
1,10,11,0,0,9.09,4,caught,2,vÿZimbabwe,Paarl,06-Oct-18,ODI # 4051
31*,30,21,4,1,147.61,6,not out,2,vÿSri Lanka,Port Elizabeth,13-Mar-19,ODI # 4114
DNB,-,-,-,-,-,-,-,2,vÿSri Lanka,Cape Town,16-Mar-19,ODI # 4115
8,12,11,1,0,72.72,6,caught,2,vÿEngland,The Oval,30-May-19,ODI # 4143
45,62,37,4,0,121.62,6,bowled,2,vÿBangladesh,The Oval,02-Jun-19,ODI # 4147
3,11,11,0,0,27.27,6,lbw,1,vÿIndia,Southampton,05-Jun-19,ODI # 4150
DNB,-,-,-,-,-,-,-,2,vÿSri Lanka,Chester-le-Street,28-Jun-19,ODI # 4176
14,18,13,1,0,107.69,5,caught,1,vÿAustralia,Manchester,06-Jul-19,ODI # 4188
