Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
5,50,26,0,0,19.23,3,caught,1,v England,Johannesburg,30-Jan-05,ODI # 2216
63,109,78,4,0,80.76,3,caught,2,v England,Bloemfontein,02-Feb-05,ODI # 2219
3,14,12,0,0,25,4,caught,2,v England,Port Elizabeth,04-Feb-05,ODI # 2221
71,140,97,6,0,73.19,3,run out,1,v England,Cape Town,06-Feb-05,ODI # 2223
49,66,53,8,0,92.45,3,caught,1,v England,East London,09-Feb-05,ODI # 2224
0,1,1,0,0,0,3,caught,1,v England,Durban,11-Feb-05,ODI # 2225
36,102,60,2,1,60,3,caught,2,v England,Centurion,13-Feb-05,ODI # 2226
51*,97,68,2,0,75,3,not out,2,v West Indies,Kingston,07-May-05,ODI # 2241
7,18,18,1,0,38.88,3,caught,2,v West Indies,Kingston,08-May-05,ODI # 2242
87,164,109,2,2,79.81,3,caught,1,v West Indies,Bridgetown,11-May-05,ODI # 2243
17,-,25,2,0,68,3,caught,2,v West Indies,Port of Spain,14-May-05,ODI # 2244
18,27,24,0,0,75,3,caught,2,v West Indies,Port of Spain,15-May-05,ODI # 2245
4,27,14,0,0,28.57,3,caught,1,v Asia XI,Centurion,17-Aug-05,ODI # 2269
4,57,20,0,0,20,3,lbw,1,v Asia XI,Durban,21-Aug-05,ODI # 2271
8,28,23,1,0,34.78,3,lbw,2,v Australia,Melbourne (Docklands),05-Oct-05,ODI # 2282
11,38,25,0,0,44,4,run out,2,v Australia,Melbourne (Docklands),07-Oct-05,ODI # 2283
2,12,10,0,0,20,4,caught,2,v Australia,Melbourne (Docklands),09-Oct-05,ODI # 2284
0,10,5,0,0,0,3,bowled,2,v New Zealand,Bloemfontein,23-Oct-05,ODI # 2285
51,118,94,2,0,54.25,5,caught,1,v New Zealand,Cape Town,28-Oct-05,ODI # 2288
24*,70,43,4,0,55.81,3,not out,1,v New Zealand,Durban,04-Nov-05,ODI # 2292
15,47,20,3,0,75,3,caught,2,v New Zealand,Centurion,06-Nov-05,ODI # 2293
68*,145,97,5,0,70.1,4,not out,2,v India,Hyderabad (Deccan),16-Nov-05,ODI # 2297
2,11,8,0,0,25,4,caught,1,v India,Bengaluru,19-Nov-05,ODI # 2298
DNB,-,-,-,-,-,-,-,2,v India,Kolkata,25-Nov-05,ODI # 2299
91,183,146,5,0,62.32,3,caught,1,v India,Mumbai,28-Nov-05,ODI # 2300
0,3,1,0,0,0,3,run out,2,v Australia,Brisbane,15-Jan-06,ODI # 2314
21,34,27,1,1,77.77,5,caught,1,v Australia,Durban,10-Mar-06,ODI # 2348
20,22,21,1,0,95.23,5,caught,2,v Australia,Johannesburg,12-Mar-06,ODI # 2349
4,18,16,1,0,25,4,caught,2,v Zimbabwe,Bloemfontein,15-Sep-06,ODI # 2415
26,41,40,2,0,65,4,bowled,2,v Zimbabwe,East London,18-Sep-06,ODI # 2418
50,65,59,5,0,84.74,3,caught,1,v Zimbabwe,Potchefstroom,20-Sep-06,ODI # 2420
8,24,18,1,0,44.44,4,caught,2,v New Zealand,Mumbai (BS),16-Oct-06,ODI # 2430
43,93,71,2,1,60.56,4,stumped,1,v Sri Lanka,Ahmedabad,24-Oct-06,ODI # 2435
17,55,25,2,0,68,4,caught,1,v Pakistan,Mohali,27-Oct-06,ODI # 2438
16,50,38,3,0,42.1,3,caught,1,v West Indies,Jaipur,02-Nov-06,ODI # 2442
