Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
36,71,43,6,0,83.72,2,bowled,1,vÿEngland,Kolkata,19-Jan-02,ODI # 1788
45,101,60,6,0,75,2,run out,2,vÿEngland,Cuttack,22-Jan-02,ODI # 1792
68,110,79,10,0,86.07,1,lbw,2,vÿEngland,Chennai,25-Jan-02,ODI # 1795
87*,120,67,13,1,129.85,1,not out,2,vÿEngland,Kanpur,28-Jan-02,ODI # 1798
18,20,16,3,0,112.5,2,caught,2,vÿEngland,Delhi,31-Jan-02,ODI # 1800
12,22,18,1,1,66.66,2,caught,2,vÿEngland,Mumbai,03-Feb-02,ODI # 1803
34*,64,45,2,0,75.55,4,not out,2,vÿWest Indies,Bridgetown,29-May-02,ODI # 1836
65,110,70,3,1,92.85,4,bowled,1,vÿWest Indies,Port of Spain,02-Jun-02,ODI # 1838
1,12,9,0,0,11.11,4,lbw,2,vÿEngland,Lord's,29-Jun-02,ODI # 1848
49,123,70,3,1,70,4,caught,2,vÿSri Lanka,The Oval,30-Jun-02,ODI # 1849
105*,167,108,8,1,97.22,4,not out,1,vÿEngland,Chester-le-Street,04-Jul-02,ODI # 1851
19,35,25,3,0,76,4,caught,2,vÿSri Lanka,Birmingham,06-Jul-02,ODI # 1852
36,60,29,5,0,124.13,4,caught,2,vÿEngland,The Oval,09-Jul-02,ODI # 1854
113,141,102,12,1,110.78,4,caught,1,vÿSri Lanka,Bristol,11-Jul-02,ODI # 1855
14,31,19,1,0,73.68,4,bowled,2,vÿEngland,Lord's,13-Jul-02,ODI # 1856
7,39,16,0,0,43.75,4,caught,1,vÿZimbabwe,Colombo (RPS),14-Sep-02,ODI # 1876
9*,34,20,0,0,45,4,not out,2,vÿEngland,Colombo (RPS),22-Sep-02,ODI # 1884
16,39,29,1,0,55.17,4,run out,1,vÿSouth Africa,Colombo (RPS),25-Sep-02,ODI # 1886
DNB,-,-,-,-,-,-,-,2,vÿSri Lanka,Colombo (RPS),29-Sep-02,ODI # 1888
7*,33,22,1,0,31.81,3,not out,2,vÿSri Lanka,Colombo (RPS),30-Sep-02,ODI # 1889
0,9,10,0,0,0,4,lbw,2,vÿNew Zealand,Wellington,08-Jan-03,ODI # 1930
1,21,13,0,0,7.69,4,caught,2,vÿNew Zealand,Auckland,11-Jan-03,ODI # 1933
1,7,6,0,0,16.66,3,caught,1,vÿNew Zealand,Hamilton,14-Jan-03,ODI # 1935
52,91,72,7,0,72.22,2,caught,1,vÿNetherlands,Paarl,12-Feb-03,ODI # 1948
36,127,59,3,0,61.01,2,lbw,1,vÿAustralia,Centurion,15-Feb-03,ODI # 1951
81,122,91,10,0,89.01,2,bowled,1,vÿZimbabwe,Harare,19-Feb-03,ODI # 1957
152,193,151,18,0,100.66,2,bowled,1,vÿNamibia,Pietermaritzburg,23-Feb-03,ODI # 1964
50,78,52,8,1,96.15,2,caught,1,vÿEngland,Durban,26-Feb-03,ODI # 1969
98,145,75,12,1,130.66,1,caught,2,vÿPakistan,Centurion,01-Mar-03,ODI # 1975
5,21,12,1,0,41.66,2,caught,2,vÿKenya,Cape Town,07-Mar-03,ODI # 1983
97,160,120,7,1,80.83,1,caught,1,vÿSri Lanka,Johannesburg,10-Mar-03,ODI # 1985
15,25,16,3,0,93.75,2,caught,2,vÿNew Zealand,Centurion,14-Mar-03,ODI # 1988
83,166,101,5,1,82.17,2,caught,1,vÿKenya,Durban,20-Mar-03,ODI # 1992
4,2,5,1,0,80,1,caught,2,vÿAustralia,Johannesburg,23-Mar-03,ODI # 1993
48*,119,66,5,0,72.72,2,not out,1,vÿNew Zealand,Chennai,23-Oct-03,ODI # 2051
100,158,119,9,1,84.03,2,caught,1,vÿAustralia,Gwalior,26-Oct-03,ODI # 2052
68,113,76,10,0,89.47,2,bowled,2,vÿAustralia,Mumbai,01-Nov-03,ODI # 2054
14,29,14,3,0,100,2,lbw,1,vÿNew Zealand,Cuttack,06-Nov-03,ODI # 2056
89,133,91,12,1,97.8,2,bowled,2,vÿAustralia,Bengaluru,12-Nov-03,ODI # 2061
102,124,91,12,1,112.08,2,caught,1,vÿNew Zealand,Hyderabad (Deccan),15-Nov-03,ODI # 2062
45,104,66,5,0,68.18,1,bowled,2,vÿAustralia,Kolkata,18-Nov-03,ODI # 2064
63,117,69,8,1,91.3,2,caught,2,vÿAustralia,Melbourne,09-Jan-04,ODI # 2077
44,107,59,6,0,74.57,2,bowled,2,vÿZimbabwe,Hobart,14-Jan-04,ODI # 2080
86,129,95,8,0,90.52,2,caught,1,vÿAustralia,Brisbane,18-Jan-04,ODI # 2084
5,17,6,1,0,83.33,2,caught,1,vÿAustralia,Perth,01-Feb-04,ODI # 2093
3,16,8,0,0,37.5,2,caught,2,vÿZimbabwe,Perth,03-Feb-04,ODI # 2095
8,28,22,1,0,36.36,2,bowled,1,vÿAustralia,Melbourne,06-Feb-04,ODI # 2097
27,38,40,4,0,67.5,2,caught,2,vÿAustralia,Sydney,08-Feb-04,ODI # 2098
28,49,35,4,1,80,2,caught,1,vÿPakistan,Karachi,13-Mar-04,ODI # 2112
141,173,135,17,1,104.44,2,caught,2,vÿPakistan,Rawalpindi,16-Mar-04,ODI # 2114
0,7,5,0,0,0,2,caught,1,vÿPakistan,Peshawar,19-Mar-04,ODI # 2115
7,22,13,1,0,53.84,2,caught,2,vÿPakistan,Lahore,21-Mar-04,ODI # 2116
