Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
29,79,47,2,0,61.7,4,caught,2,vÿBangladesh,Adelaide,09-Mar-15,ODI # 3630
DNB,-,-,-,-,-,-,-,2,vÿAfghanistan,Sydney,13-Mar-15,ODI # 3635
104,108,78,13,2,133.33,3,caught,1,vÿNew Zealand,Birmingham,09-Jun-15,ODI # 3654
6,11,10,0,0,60,3,caught,2,vÿNew Zealand,The Oval,12-Jun-15,ODI # 3655
54,90,63,6,0,85.71,3,bowled,1,vÿNew Zealand,Southampton,14-Jun-15,ODI # 3656
106*,139,97,13,0,109.27,3,not out,2,vÿNew Zealand,Nottingham,17-Jun-15,ODI # 3657
4,8,5,1,0,80,3,stumped,2,vÿNew Zealand,Chester-le-Street,20-Jun-15,ODI # 3659
0,8,7,0,0,0,3,lbw,1,vÿPakistan,Abu Dhabi,11-Nov-15,ODI # 3707
63,121,77,3,0,81.81,3,bowled,1,vÿPakistan,Abu Dhabi,13-Nov-15,ODI # 3708
11,15,14,1,0,78.57,3,caught,2,vÿPakistan,Sharjah,17-Nov-15,ODI # 3710
71,105,71,3,2,100,3,stumped,1,vÿPakistan,Dubai (DSC),20-Nov-15,ODI # 3712
52,97,58,4,1,89.65,3,bowled,1,vÿSouth Africa,Bloemfontein,03-Feb-16,ODI # 3732
38,93,64,2,0,59.37,3,bowled,2,vÿSouth Africa,Port Elizabeth,06-Feb-16,ODI # 3734
125,165,113,10,5,110.61,3,run out,1,vÿSouth Africa,Centurion,09-Feb-16,ODI # 3736
109,-,124,10,1,87.9,3,caught,1,vÿSouth Africa,Johannesburg,12-Feb-16,ODI # 3737
27,41,25,4,0,108,3,lbw,1,vÿSouth Africa,Cape Town,14-Feb-16,ODI # 3738
2,19,6,0,0,33.33,3,bowled,2,vÿSri Lanka,Nottingham,21-Jun-16,ODI # 3751
DNB,-,-,-,-,-,-,-,2,vÿSri Lanka,Birmingham,24-Jun-16,ODI # 3753
11*,15,16,1,0,68.75,3,not out,2,vÿSri Lanka,Bristol,26-Jun-16,ODI # 3755
